日期,品項,價格,幣值,來源
2025-07-11 09:23:00,磷,324.689757,USD,LME_歷史數據
2025-07-11 09:23:00,青,212.351346,USD,LME_歷史數據
2025-07-11 09:23:00,紅,282.9948,USD,LME_歷史數據
2025-07-16 08:22:00,磷,323.0645059,USD,LME_歷史數據
2025-07-16 08:22:00,青,210.54011475000001,USD,LME_歷史數據
2025-07-16 08:22:00,紅,281.458135,USD,LME_歷史數據
2025-07-16 09:08:00,磷,323.79633805,USD,LME_歷史數據
2025-07-16 09:08:00,青,211.154367625,USD,LME_歷史數據
2025-07-16 09:08:00,紅,282.2927575,USD,LME_歷史數據
2025-07-17 09:00:00,磷,324.4921608,USD,LME_歷史數據
2025-07-17 09:00:00,青,211.90786612499997,USD,LME_歷史數據
2025-07-17 09:00:00,紅,283.20762,USD,LME_歷史數據
2025-07-17 17:13:00,磷,323.583525,USD,LME_歷史數據
2025-07-17 17:13:00,青,211.5770105,USD,LME_歷史數據
2025-07-17 17:13:00,紅,282.77715,USD,LME_歷史數據
2025-07-21 12:14:00,磷,330.8296225499999,USD,LME_歷史數據
2025-07-21 12:14:00,青,217.01945775,USD,LME_歷史數據
2025-07-21 12:14:00,紅,288.8700075,USD,LME_歷史數據
2025-07-21 17:29:00,磷,332.39214735,USD,LME_歷史數據
2025-07-21 17:29:00,青,218.233561875,USD,LME_歷史數據
2025-07-21 17:29:00,紅,290.42900249999997,USD,LME_歷史數據
2025-07-29 09:56:00,磷,330.8530752,USD,LME_歷史數據
2025-07-29 09:56:00,青,216.581598,USD,LME_歷史數據
2025-07-29 09:56:00,紅,288.52847999999994,USD,LME_歷史數據
2025-07-30 09:00:00,磷,333.674748,USD,LME_歷史數據
2025-07-30 09:00:00,青,218.5303725,USD,LME_歷史數據
2025-07-30 09:00:00,紅,291.23819999999995,USD,LME_歷史數據
2025-07-30 17:16:00,磷,333.2363339499999,USD,LME_歷史數據
2025-07-30 17:16:00,青,218.070346,USD,LME_歷史數據
2025-07-30 17:16:00,紅,290.61886749999996,USD,LME_歷史數據
2025-07-31 09:18:00,磷,333.06612429999996,USD,LME_歷史數據
2025-07-31 09:18:00,青,218.15352,USD,LME_歷史數據
2025-07-31 09:18:00,紅,290.93077,USD,LME_歷史數據
2025-08-01 09:32:00,磷,330.80191829999995,USD,LME_歷史數據
2025-08-01 09:32:00,青,216.94241699999998,USD,LME_歷史數據
2025-08-01 09:32:00,紅,289.13449499999996,USD,LME_歷史數據
2025-08-01 17:06:00,磷,331.5654964,USD,LME_歷史數據
2025-08-01 17:06:00,青,217.29001349999996,USD,LME_歷史數據
2025-08-01 17:06:00,紅,289.78306000000003,USD,LME_歷史數據
2025-08-01 18:04:00,磷,330.90727095,USD,LME_歷史數據
2025-08-01 18:04:00,青,216.279835875,USD,LME_歷史數據
2025-08-01 18:04:00,紅,288.72929250000004,USD,LME_歷史數據
2025-08-04 10:11:00,磷,330.5500823,USD,LME_歷史數據
2025-08-04 10:11:00,青,215.93695075000002,USD,LME_歷史數據
2025-08-04 10:11:00,紅,288.35004499999997,USD,LME_歷史數據
2025-08-04 17:12:00,磷,333.83178465,USD,LME_歷史數據
2025-08-04 17:12:00,青,218.02159518749997,USD,LME_歷史數據
2025-08-04 17:12:00,紅,291.18336,USD,LME_歷史數據
2025-08-05 09:00:00,磷,332.3080368,USD,LME_歷史數據
2025-08-05 09:00:00,青,217.54890450000002,USD,LME_歷史數據
2025-08-05 09:00:00,紅,290.310345,USD,LME_歷史數據
2025-08-05 17:15:00,磷,331.4214464,USD,LME_歷史數據
2025-08-05 17:15:00,青,216.98358000000002,USD,LME_歷史數據
2025-08-05 17:15:00,紅,289.26655999999997,USD,LME_歷史數據
2025-08-06 17:32:00,磷,332.9141091999999,USD,LME_歷史數據
2025-08-06 17:32:00,青,217.67953350000002,USD,LME_歷史數據
2025-08-06 17:32:00,紅,290.08648,USD,LME_歷史數據
2025-08-07 17:06:00,磷,332.0744922,USD,LME_歷史數據
2025-08-07 17:06:00,青,217.63903724999997,USD,LME_歷史數據
2025-08-07 17:06:00,紅,289.61838,USD,LME_歷史數據
2025-08-08 09:41:00,磷,331.4846502,USD,LME_歷史數據
2025-08-08 09:41:00,青,216.97472025,USD,LME_歷史數據
2025-08-08 09:41:00,紅,288.72468,USD,LME_歷史數據
2025-08-08 17:00:00,磷,332.59401629999996,USD,LME_歷史數據
2025-08-08 17:00:00,青,217.676905875,USD,LME_歷史數據
2025-08-08 17:00:00,紅,289.60834500000004,USD,LME_歷史數據
2025-08-11 15:05:00,磷,335.6195118,USD,LME_歷史數據
2025-08-11 15:05:00,青,219.907293,USD,LME_歷史數據
2025-08-11 15:05:00,紅,292.57962,USD,LME_歷史數據
2025-08-11 17:06:00,磷,334.51641044999997,USD,LME_歷史數據
2025-08-11 17:06:00,青,219.252270125,USD,LME_歷史數據
2025-08-11 17:06:00,紅,291.8058675,USD,LME_歷史數據
2025-08-12 11:05:00,磷,335.34686819999996,USD,LME_歷史數據
2025-08-12 11:05:00,青,219.51257112500002,USD,LME_歷史數據
2025-08-12 11:05:00,紅,292.233255,USD,LME_歷史數據
2025-08-12 17:06:00,磷,336.6404361,USD,LME_歷史數據
2025-08-12 17:06:00,青,220.34911950000003,USD,LME_歷史數據
2025-08-12 17:06:00,紅,293.276565,USD,LME_歷史數據
2025-08-13 09:02:00,磷,337.5833801999999,USD,LME_歷史數據
2025-08-13 09:02:00,青,221.2887855,USD,LME_歷史數據
2025-08-13 09:02:00,紅,294.59462999999994,USD,LME_歷史數據
2025-08-13 17:22:00,磷,337.8868031,USD,LME_歷史數據
2025-08-13 17:22:00,青,221.466482375,USD,LME_歷史數據
2025-08-13 17:22:00,紅,294.86841499999997,USD,LME_歷史數據
2025-08-14 17:00:00,磷,335.49496919999996,USD,LME_歷史數據
2025-08-14 17:00:00,青,219.83294700000002,USD,LME_歷史數據
2025-08-14 17:00:00,紅,292.77693,USD,LME_歷史數據
2025-08-15 17:12:00,磷,335.96627390000003,USD,LME_歷史數據
2025-08-15 17:12:00,青,220.23081525000003,USD,LME_歷史數據
2025-08-15 17:12:00,紅,293.19723500000003,USD,LME_歷史數據
2025-08-18 11:21:00,磷,335.8598094,USD,LME_歷史數據
2025-08-18 11:21:00,青,219.95640675000004,USD,LME_歷史數據
2025-08-18 11:21:00,紅,293.12226,USD,LME_歷史數據
